formatted_address,primary_address,other_address,development_id,development_name,other_address0,other_address1,other_address2,other_address3,other_address4,programs
25 James O'Neil St  Boston  MA  02127,y,,34,Old Colony Phase 1,,,,,,Leased Housing - PBV Family
166 Terrace St  Roxbury  MA  02120,y,,35,Oliver Lofts,,,,,,Leased Housing - PBV Family
136-138 Pleasant St  Dorchester  MA  02125,y,,36,Pleasant Street,,,,,,Leased Housing - PBV Family
136 Pleasant St  Dorchester  MA  02125,y,,36,Pleasant Street,,,,,,Leased Housing - PBV Family
138 Pleasant St  Dorchester  MA  02125,y,,36,Pleasant Street,,,,,,Leased Housing - PBV Family
278-292 Blue Hill Ave  Roxbury  MA  02119,y,,37,Quincy Commons,,,,,,Leased Housing - PBV Family
278 Blue Hill Ave  Roxbury  MA  02119,y,,37,Quincy Commons,,,,,,Leased Housing - PBV Family
280 Blue Hill Ave  Roxbury  MA  02119,y,,37,Quincy Commons,,,,,,Leased Housing - PBV Family
282 Blue Hill Ave  Roxbury  MA  02119,y,,37,Quincy Commons,,,,,,Leased Housing - PBV Family
284 Blue Hill Ave  Roxbury  MA  02119,y,,37,Quincy Commons,,,,,,Leased Housing - PBV Family
286 Blue Hill Ave  Roxbury  MA  02119,y,,37,Quincy Commons,,,,,,Leased Housing - PBV Family
288 Blue Hill Ave  Roxbury  MA  02119,y,,37,Quincy Commons,,,,,,Leased Housing - PBV Family
290 Blue Hill Ave  Roxbury  MA  02119,y,,37,Quincy Commons,,,,,,Leased Housing - PBV Family
292 Blue Hill Ave  Roxbury  MA  02119,y,,37,Quincy Commons,,,,,,Leased Housing - PBV Family
Scattered Sites Rockvale Circle  Jamaica Plain  MA  02130,,,38,Rockvale Circle,,,,,,Leased Housing - PBV Family
Scattered Sites  Boston  MA  ,,,39,Rollins Square,,,,,,Leased Housing - PBV Family
1 Fenwood Rd  Boston  MA  02115,y,,40,Roxbury Tenant of Harvard,,,,,,Leased Housing - PBV Family
20 Rutland Sq  South End  MA  02118,y,,41,Rutland Square House (Family),,,,,,Leased Housing - PBV Family
40 Berkeley St  Boston  MA  02116,y,,42,The Berkeley Residence,,,,,,Leased Housing - PBV Family
249 River St  Mattapan  MA  02126,y,,43,The Foley,,,,,,Leased Housing - PBV Eld/Dis
170-172 Maverick St  East Boston  MA  02128,y,,44,The Greenway/Maverick,,,,,,Leased Housing - PBV Family
170 Maverick St  East Boston  MA  02128,y,,44,The Greenway/Maverick,,,,,,Leased Housing - PBV Family
172 Maverick St  East Boston  MA  02128,y,,44,The Greenway/Maverick,,,,,,Leased Housing - PBV Family
1 Nassau St  Boston  MA  02111,y,,45,The Metropolitan,,,,,,Leased Housing - PBV Family
406 Meridian St  East Boston  MA  02128,y,,46,Trinity House,,,,,,Leased Housing - PBV Family
612-618 Columbia St  Dorchester  MA  02125,y,,47,Uphams Corner,,,,,,Leased Housing - PBV Eld/Dis
612 Columbia St  Dorchester  MA  02125,y,,47,Uphams Corner,,,,,,Leased Housing - PBV Eld/Dis
614 Columbia St  Dorchester  MA  02125,y,,47,Uphams Corner,,,,,,Leased Housing - PBV Eld/Dis
616 Columbia St  Dorchester  MA  02125,y,,47,Uphams Corner,,,,,,Leased Housing - PBV Eld/Dis
618 Columbia St  Dorchester  MA  02125,y,,47,Uphams Corner,,,,,,Leased Housing - PBV Eld/Dis
Scattered Sites  Dorchester  MA  ,,,48,Uphams West,,,,,,Leased Housing - PBV Family
237-241 Walnut Ave  Roxbury  MA  02119,y,,49,Walnut House,,,,,,Leased Housing - Mod Rehab Eld/Dis
237 Walnut Ave  Roxbury  MA  02119,y,,49,Walnut House,,,,,,Leased Housing - Mod Rehab Eld/Dis
239 Walnut Ave  Roxbury  MA  02119,y,,49,Walnut House,,,,,,Leased Housing - Mod Rehab Eld/Dis
241 Walnut Ave  Roxbury  MA  02119,y,,49,Walnut House,,,,,,Leased Housing - Mod Rehab Eld/Dis
4560 Washington St  Roslindale  MA  02131,y,,50,Washington Beech,,,,,,Public Housing - Tax Cred
91-95 Washington St  Brighton  MA  02135,y,,51,Washington Street,,,,,,Public Housing - Federal Eld/Dis
91Washington St  Brighton  MA  02135,y,,51,Washington Street,,,,,,Public Housing - Federal Eld/Dis
93 Washington St  Brighton  MA  02135,y,,51,Washington Street,,,,,,Public Housing - Federal Eld/Dis
95 Washington St  Brighton  MA  02135,y,,51,Washington Street,,,,,,Public Housing - Federal Eld/Dis
12-14 Wise St  Jamaica Plain  MA  02130,y,,52,Wise Street/Porter Apartments,,,,,,Leased Housing - PBV Family
12 Wise St  Jamaica Plain  MA  02130,y,,52,Wise Street/Porter Apartments,,,,,,Leased Housing - PBV Family
14 Wise St  Jamaica Plain  MA  02130,y,,52,Wise Street/Porter Apartments,,,,,,Leased Housing - PBV Family
131 Zeigler St  Boston  MA  02118,y,,53,Zeigler,,,,,,Leased Housing - PBV Eld/Dis
109 Mt. Pleasant Ave  Roxbury  MA  02119,y,,54,109 Mt. Pleasant Ave,,,,,,Leased Housing - PBV Family
225 Centre St  Jamaica Plain  MA  02130,y,,55,225 Centre Street,,,,,,Leased Housing - PBV Family
698 Massachusetts Ave  Boston  MA  02118 ,y,,57,698 Mass Ave,,,,,,Leased Housing - PBV Family
1049-1051 Tremont St  Boston  MA  02120,y,,58,Arch Project,,,,,,Leased Housing - Mod Rehab Family
1049 Tremont St  Boston  MA  02120,y,,58,Arch Project,,,,,,Leased Housing - Mod Rehab Family
1051 Tremont St  Boston  MA  02120,y,,58,Arch Project,,,,,,Leased Housing - Mod Rehab Family
326 Shawnut Ave  Boston  MA  02118,y,,59,Betances House,,,,,,Leased Housing - Mod Rehab Eld/Dis
4 Bishop St  Jamaica Plain  MA  02130,y,,60,Bishop Street,,,,,,Leased Housing - Mod Rehab Eld/Dis
698 Massachusetts Ave  Boston  MA  02118,y,,61,Bobbie White House,,,,,,Leased Housing - Mod Rehab Family
1989-1991  1899  1901  2014-2018  2020-2030 Columbus Ave  Roxbury  MA  02119,y,,62,Columbus Ave Apartments,,,,,,Leased Housing - Mod Rehab Family
1989 Columbus Ave  Roxbury  MA  02119,y,,62,Columbus Ave Apartments,,,,,,Leased Housing - Mod Rehab Family
1991 Columbus Ave  Roxbury  MA  02119,y,,62,Columbus Ave Apartments,,,,,,Leased Housing - Mod Rehab Family
1899 Columbus Ave  Roxbury  MA  02119,y,,62,Columbus Ave Apartments,,,,,,Leased Housing - Mod Rehab Family
1901 Columbus Ave  Roxbury  MA  02119,y,,62,Columbus Ave Apartments,,,,,,Leased Housing - Mod Rehab Family
2014 Columbus Ave  Roxbury  MA  02119,y,,62,Columbus Ave Apartments,,,,,,Leased Housing - Mod Rehab Family
2016 Columbus Ave  Roxbury  MA  02119,y,,62,Columbus Ave Apartments,,,,,,Leased Housing - Mod Rehab Family
2018 Columbus Ave  Roxbury  MA  02119,y,,62,Columbus Ave Apartments,,,,,,Leased Housing - Mod Rehab Family
2020 Columbus Ave  Roxbury  MA  02119,y,,62,Columbus Ave Apartments,,,,,,Leased Housing - Mod Rehab Family
2022 Columbus Ave  Roxbury  MA  02119,y,,62,Columbus Ave Apartments,,,,,,Leased Housing - Mod Rehab Family
2024 Columbus Ave  Roxbury  MA  02119,y,,62,Columbus Ave Apartments,,,,,,Leased Housing - Mod Rehab Family
2026 Columbus Ave  Roxbury  MA  02119,y,,62,Columbus Ave Apartments,,,,,,Leased Housing - Mod Rehab Family
2028 Columbus Ave  Roxbury  MA  02119,y,,62,Columbus Ave Apartments,,,,,,Leased Housing - Mod Rehab Family
2030 Columbus Ave  Roxbury  MA  02119,y,,62,Columbus Ave Apartments,,,,,,Leased Housing - Mod Rehab Family
17 Court St  Boston  MA  02108,y,,63,Congressman John Joseph Moakley Quarters,,,,,,Leased Housing - Mod Rehab Family
1035-1039 Tremont St  Boston  MA  02120,y,,64,Conventry Street Program,,,,,,Leased Housing - Mod Rehab Eld/Dis
1035 Tremont St  Boston  MA  02120,y,,64,Conventry Street Program,,,,,,Leased Housing - Mod Rehab Eld/Dis
1037 Tremont St  Boston  MA  02120,y,,64,Conventry Street Program,,,,,,Leased Housing - Mod Rehab Eld/Dis
1039 Tremont St  Boston  MA  02120,y,,64,Conventry Street Program,,,,,,Leased Housing - Mod Rehab Eld/Dis
123 Crawford St  Dorchester  MA  02121,y,,65,Crawford Street,,,,,,Leased Housing - Mod Rehab Family
318 Dudley St  Roxbury  MA  02119,y,,66,Daly House,,,,,,Leased Housing - Mod Rehab Eld/Dis
"7-9, 11-13 Dixwell St  Roxbury  MA  02119",y,,67,Dixwell Street Apartments,,,,,,Leased Housing - Mod Rehab Family
7 Dixwell St  Roxbury  MA  02119,y,,67,Dixwell Street Apartments,,,,,,Leased Housing - Mod Rehab Family
9 Dixwell St  Roxbury  MA  02119,y,,67,Dixwell Street Apartments,,,,,,Leased Housing - Mod Rehab Family
11 Dixwell St  Roxbury  MA  02119,y,,67,Dixwell Street Apartments,,,,,,Leased Housing - Mod Rehab Family
13 Dixwell St  Roxbury  MA  02119,y,,67,Dixwell Street Apartments,,,,,,Leased Housing - Mod Rehab Family
40 East Springfield St  Boston  MA  02118,y,,68,East Springfield,,,,,,Leased Housing - Mod Rehab Eld/Dis
3-5 Esmond St  Dorchester  MA  02121,y,,69,Esmond Street,,,,,,Leased Housing - Mod Rehab Family
3 Esmond St  Dorchester  MA  02121,y,,69,Esmond Street,,,,,,Leased Housing - Mod Rehab Family
5 Esmond St  Dorchester  MA  02121,y,,69,Esmond Street,,,,,,Leased Housing - Mod Rehab Family
31-31A Fessenden St  Mattapan  MA  02126,y,,70,Fessenden Street Apartments (Elderly),,,,,,Leased Housing - Mod Rehab Eld/Dis
31 Fessenden St  Mattapan  MA  02126,y,,70,Fessenden Street Apartments (Elderly),,,,,,Leased Housing - Mod Rehab Eld/Dis
31A Fessenden St  Mattapan  MA  02126,y,,70,Fessenden Street Apartments (Elderly),,,,,,Leased Housing - Mod Rehab Eld/Dis
133-135 Fuller St  Dorchester  MA  02124,y,,71,Fuller House,,,,,,Leased Housing - Mod Rehab Eld/Dis
133 Fuller St  Dorchester  MA  02124,y,,71,Fuller House,,,,,,Leased Housing - Mod Rehab Eld/Dis
135 Fuller St  Dorchester  MA  02124,y,,71,Fuller House,,,,,,Leased Housing - Mod Rehab Eld/Dis
497-503 Columbus Ave  Boston  MA  02118,y,,72,Haley House,,,,,,Leased Housing - Mod Rehab Family
497 Columbus Ave  Boston  MA  02118,y,,72,Haley House,,,,,,Leased Housing - Mod Rehab Family
499 Columbus Ave  Boston  MA  02118,y,,72,Haley House,,,,,,Leased Housing - Mod Rehab Family
501 Columbus Ave  Boston  MA  02118,y,,72,Haley House,,,,,,Leased Housing - Mod Rehab Family
503 Columbus Ave  Boston  MA  02118,y,,72,Haley House,,,,,,Leased Housing - Mod Rehab Family
270 Huntington Ave  Boston  MA  02115,y,,73,Huntington at Symphony,,,,,,Leased Housing - Mod Rehab Eld/Dis
270 Huntington Ave  Boston  MA  02115,y,,74,Huntington House,,,,,,Leased Housing - Tenant Voucher
74A-B-76 Interval St  Dorchester  MA  02121,y,,75,Infill 1,,,,,,Leased Housing - Mod Rehab Family
74A Interval St  Dorchester  MA  02121,y,,75,Infill 1,,,,,,Leased Housing - Mod Rehab Family
74B Interval St  Dorchester  MA  02121,y,,75,Infill 1,,,,,,Leased Housing - Mod Rehab Family
