formatted_address,primary_address,other_address,development_id,development_name,other_address0,other_address1,other_address2,other_address3,other_address4,programs
94 West Newton St  Boston  MA  02118,y,,147,West Newton,,,,,,Public Housing - Federal Family
1158 Tremont St  Roxbury  MA  02119,y,,148,Whittier Street,,,,,,Public Housing - Federal Family
73 Crowley Rogers Way  South Boston  MA  02127,y,,149,West Broadway Homes,,,,,,Public Housing - Tax Cred
43 Smith St  Boston  MA  02120,y,,150,Mission Main,,,,,,Leased Housing - MRVP
25 Ambrose St  Roxbury  MA  02119,y,,151,Orchard Gardens,,,,,,Public Housing - Tax Cred
1285 Commonwealth Ave Suite B  Allston  MA  02134,y,,152,Long-Glen Rental/Ray Dooley Apartments,,,,,,Public Housing - Tax Cred
31 Liverpool St  East Boston  MA  02128,y,,153,Maverick Landing,,,,,,Public Housing - Tax Cred
1990 Columbus Ave  Roxbury  MA  02119,y,,154,Walnut Park,,,,,,Public Housing - Federal Eld/Dis
29 Pond St  Jamaica Plain  MA  02130,y,,155,Pond Street,,,,,,Public Housing - Federal Eld/Dis
544  706  708 Washington St  Dorchester  MA  02124,y,,156,Codman Square,"7 Capen Street , Dorchester, MA 02124",,"24 Crowell Street, Dorchester, MA 02124",,,Leased Housing - Mod Rehab Family
544 Washington St  Dorchester  MA  02124,y,,156,Codman Square,,,,,,Leased Housing - Mod Rehab Family
706 Washington St  Dorchester  MA  02124,y,,156,Codman Square,,,,,,Leased Housing - Mod Rehab Family
708 Washington St  Dorchester  MA  02124,y,,156,Codman Square,,,,,,Leased Housing - Mod Rehab Family
7 Capen St  Dorchester  MA  02124,,y,156,Codman Square,,,,,,Leased Housing - Mod Rehab Family
115-116 Maxwell St  Dorchester  MA  02124,,y,156,Codman Square,,,,,,Leased Housing - Mod Rehab Family
115 Maxwell St  Dorchester  MA  02124,,y,156,Codman Square,,,,,,Leased Housing - Mod Rehab Family
116 Maxwell St  Dorchester  MA  02124,,y,156,Codman Square,,,,,,Leased Housing - Mod Rehab Family
116 Maxwell St  Dorchester  MA  02124,,y,156,Codman Square,,,,,,Leased Housing - Mod Rehab Family
5 15 Fessenden St  Mattapan  MA  02126,y,,160,Fessenden Street Apartments (Family),,,,,,Leased Housing - Mod Rehab Family
5 Fessenden St  Mattapan  MA  02126,y,,160,Fessenden Street Apartments (Family),,,,,,Leased Housing - Mod Rehab Family
15 Fessenden St  Mattapan  MA  02126,y,,160,Fessenden Street Apartments (Family),,,,,,Leased Housing - Mod Rehab Family
"7, 9, 11, 15, 17 & 56 Delle Ave  Boston  MA  02120",y,,164,Frawley Delle Apartments,,,,,,Leased Housing - Mod Rehab Family
7 Delle Ave  Boston  MA  02120,y,,164,Frawley Delle Apartments,,,,,,Leased Housing - Mod Rehab Family
9 Delle Ave  Boston  MA  02120,y,,164,Frawley Delle Apartments,,,,,,Leased Housing - Mod Rehab Family
11 Delle Ave  Boston  MA  02120,y,,164,Frawley Delle Apartments,,,,,,Leased Housing - Mod Rehab Family
15 Delle Ave  Boston  MA  02120,y,,164,Frawley Delle Apartments,,,,,,Leased Housing - Mod Rehab Family
17 Delle Ave  Boston  MA  02120,y,,164,Frawley Delle Apartments,,,,,,Leased Housing - Mod Rehab Family
56 Delle Ave  Boston  MA  02120,y,,164,Frawley Delle Apartments,,,,,,Leased Housing - Mod Rehab Family
77-87 Fayston St  Boston  MA  02119,y,,166,Lawrenceville Scattered Sites,"41, 128-130 Intervale Street, Boston, MA 02119","40-42, 105-111 Lawrence Ave, Boston, MA 02119","35-39 Mt. Pleasant Ave, Boston, MA 02119","46 Vine Street, Boston, MA 02119","21-24 Greenville Street, Boston, MA 02119",Leased Housing - Mod Rehab Family
77 Fayston St  Boston  MA  02119,y,,166,Lawrenceville Scattered Sites,,,,,,Leased Housing - Mod Rehab Family
79 Fayston St  Boston  MA  02119,y,,166,Lawrenceville Scattered Sites,,,,,,Leased Housing - Mod Rehab Family
81 Fayston St  Boston  MA  02119,y,,166,Lawrenceville Scattered Sites,,,,,,Leased Housing - Mod Rehab Family
83 Fayston St  Boston  MA  02119,y,,166,Lawrenceville Scattered Sites,,,,,,Leased Housing - Mod Rehab Family
85 Fayston St  Boston  MA  02119,y,,166,Lawrenceville Scattered Sites,,,,,,Leased Housing - Mod Rehab Family
87 Fayston St  Boston  MA  02119,y,,166,Lawrenceville Scattered Sites,,,,,,Leased Housing - Mod Rehab Family
"41, 128-130 Intervale St  Boston  MA  02119",,y,166,Lawrenceville Scattered Sites,,,,,,Leased Housing - Mod Rehab Family
41 Intervale St  Boston  MA  02119,,y,166,Lawrenceville Scattered Sites,,,,,,Leased Housing - Mod Rehab Family
128-130 Intervale St  Boston  MA  02119,,y,166,Lawrenceville Scattered Sites,,,,,,Leased Housing - Mod Rehab Family
128 Intervale St  Boston  MA  02119,,y,166,Lawrenceville Scattered Sites,,,,,,Leased Housing - Mod Rehab Family
130 Intervale St  Boston  MA  02119,,y,166,Lawrenceville Scattered Sites,,,,,,Leased Housing - Mod Rehab Family
"40-42, 105-111 Lawrence Ave  Boston  MA  02119",,y,166,Lawrenceville Scattered Sites,,,,,,Leased Housing - Mod Rehab Family
40-42 Lawrence Ave  Boston  MA  02119,,y,166,Lawrenceville Scattered Sites,,,,,,Leased Housing - Mod Rehab Family
40 Lawrence Ave  Boston  MA  02119,,y,166,Lawrenceville Scattered Sites,,,,,,Leased Housing - Mod Rehab Family
42 Lawrence Ave  Boston  MA  02119,,y,166,Lawrenceville Scattered Sites,,,,,,Leased Housing - Mod Rehab Family
105-111 Lawrence Ave  Boston  MA  02119,,y,166,Lawrenceville Scattered Sites,,,,,,Leased Housing - Mod Rehab Family
105 Lawrence Ave  Boston  MA  02119,,y,166,Lawrenceville Scattered Sites,,,,,,Leased Housing - Mod Rehab Family
107 Lawrence Ave  Boston  MA  02119,,y,166,Lawrenceville Scattered Sites,,,,,,Leased Housing - Mod Rehab Family
109 Lawrence Ave  Boston  MA  02119,,y,166,Lawrenceville Scattered Sites,,,,,,Leased Housing - Mod Rehab Family
111 Lawrence Ave  Boston  MA  02119,,y,166,Lawrenceville Scattered Sites,,,,,,Leased Housing - Mod Rehab Family
35-39 Mt. Pleasant Ave  Boston  MA  02119,,y,166,Lawrenceville Scattered Sites,,,,,,Leased Housing - Mod Rehab Family
35 Mt. Pleasant Ave  Boston  MA  02119,,y,166,Lawrenceville Scattered Sites,,,,,,Leased Housing - Mod Rehab Family
37 Mt. Pleasant Ave  Boston  MA  02119,,y,166,Lawrenceville Scattered Sites,,,,,,Leased Housing - Mod Rehab Family
39 Mt. Pleasant Ave  Boston  MA  02119,,y,166,Lawrenceville Scattered Sites,,,,,,Leased Housing - Mod Rehab Family
46 Vine St  Boston  MA  02119,,y,166,Lawrenceville Scattered Sites,,,,,,Leased Housing - Mod Rehab Family
21-24 Greenville St  Boston  MA  02119,,y,166,Lawrenceville Scattered Sites,,,,,,Leased Housing - Mod Rehab Family
21 Greenville St  Boston  MA  02119,,y,166,Lawrenceville Scattered Sites,,,,,,Leased Housing - Mod Rehab Family
24 Greenville St  Boston  MA  02119,,y,166,Lawrenceville Scattered Sites,,,,,,Leased Housing - Mod Rehab Family
37 Roxbury St  Roxbury  MA  02119,y,,174,Sargent Prince,,,,,,Leased Housing - Mod Rehab Family
2029-2035 Columbus Ave  Boston  MA  02119  ,y,,176,Washington Park,25 Wyoming Street Boston MA 02121,185 Walnut Street Boston MA 02122,,,,Leased Housing - Mod Rehab Family
2029 Columbus Ave  Boston  MA  02119  ,y,,176,Washington Park,,,,,,Leased Housing - Mod Rehab Family
2031 Columbus Ave  Boston  MA  02119  ,y,,176,Washington Park,,,,,,Leased Housing - Mod Rehab Family
2033 Columbus Ave  Boston  MA  02119  ,y,,176,Washington Park,,,,,,Leased Housing - Mod Rehab Family
2035 Columbus Ave  Boston  MA  02119  ,y,,176,Washington Park,,,,,,Leased Housing - Mod Rehab Family
25 Wyoming St Boston MA  02121,,y,176,Washington Park,,,,,,Leased Housing - Mod Rehab Family
185 Walnut St Boston MA  02122,,y,176,Washington Park,,,,,,Leased Housing - Mod Rehab Family
77 Kingsdale St  Boston  MA  02124,y,,179,Boston Hope,,,,,,Leased Housing - PBV Family
88-89 Nightingale St  Boston  MA  02124,y,,180,Boston Hope (PBV),"71-77 Kingsdale Street,Boston M.A 02124",,,,,Leased Housing - PBV Eld/Dis
88 Nightingale St  Boston  MA  02124,y,,180,Boston Hope (PBV),,,,,,Leased Housing - PBV Eld/Dis
89 Nightingale St  Boston  MA  02124,y,,180,Boston Hope (PBV),,,,,,Leased Housing - PBV Eld/Dis
71-77 Kingsdale St Boston MA  02124,,y,180,Boston Hope (PBV),,,,,,Leased Housing - PBV Eld/Dis
71 Kingsdale St Boston MA  02124,,y,180,Boston Hope (PBV),,,,,,Leased Housing - PBV Eld/Dis
73 Kingsdale St Boston MA  02124,,y,180,Boston Hope (PBV),,,,,,Leased Housing - PBV Eld/Dis
75 Kingsdale St Boston MA  02124,,y,180,Boston Hope (PBV),,,,,,Leased Housing - PBV Eld/Dis
77 Kingsdale St Boston MA  02124,,y,180,Boston Hope (PBV),,,,,,Leased Housing - PBV Eld/Dis
127 Condor St  East Boston  MA  02128,y,,183,Condor-Havre Garden Apts,"129 Havre Street East Boston, MA 02128",,,,,Leased Housing - PBV Family
129 Havre St East Boston  MA  02128,y,,183,Condor-Havre Garden Apts,,,,,,Leased Housing - PBV Family
3091 Washington St  Boston  MA  02119,y,,185,Egleston Crossing (PBV),,,,,,Leased Housing - PBV Eld/Dis
1 Shandon Rd  Dorchester  MA  02124,y,,186,Franklin Hill (PBV),,,,,,Leased Housing - PBV Family
436 Harvard St  Dorchester  MA  02116,y,,187,Harvard Hill Apartments,"60-70 Hazelton Street , Dorchester, MA 02116",,,,,Leased Housing - PBV Family
60-70 Hazelton St  Dorchester  MA  02116,,y,187,Harvard Hill Apartments,,,,,,Leased Housing - PBV Family
60 Hazelton St  Dorchester  MA  02116,,y,187,Harvard Hill Apartments,,,,,,Leased Housing - PBV Family
62 Hazelton St  Dorchester  MA  02116,,y,187,Harvard Hill Apartments,,,,,,Leased Housing - PBV Family
64 Hazelton St  Dorchester  MA  02116,,y,187,Harvard Hill Apartments,,,,,,Leased Housing - PBV Family
66 Hazelton St  Dorchester  MA  02116,,y,187,Harvard Hill Apartments,,,,,,Leased Housing - PBV Family
68 Hazelton St  Dorchester  MA  02116,,y,187,Harvard Hill Apartments,,,,,,Leased Housing - PBV Family
70 Hazelton St  Dorchester  MA  02116,,y,187,Harvard Hill Apartments,,,,,,Leased Housing - PBV Family
2262 Dorchester Ave  Dorchester  MA  02124,y,,189,Lower Mills (PBV),,,,,,Leased Housing - PBV Eld/Dis
"25-27, 35, 84 Dacia St  Boston  MA  02125",y,,191,Howard Dacia,"18 Dewey Street,","9,15 Dalkeith stret,",155 Howard Ave,,,Leased Housing - PBV Family
25 Dacia St  Boston  MA  02125,y,,191,Howard Dacia,,,,,,Leased Housing - PBV Family
27 Dacia St  Boston  MA  02125,y,,191,Howard Dacia,,,,,,Leased Housing - PBV Family
35 Dacia St  Boston  MA  02125,y,,191,Howard Dacia,,,,,,Leased Housing - PBV Family
84 Dacia St  Boston  MA  02125,y,,191,Howard Dacia,,,,,,Leased Housing - PBV Family
18 Dewey St  Boston  MA  02125,,y,191,Howard Dacia,,,,,,Leased Housing - PBV Family
9 Dalkeith St  Boston  MA  02125,,y,191,Howard Dacia,,,,,,Leased Housing - PBV Family
15 Dalkeith St  Boston  MA  02125,,y,191,Howard Dacia,,,,,,Leased Housing - PBV Family
155 Howard Ave  Boston  MA  02125,,y,191,Howard Dacia,,,,,,Leased Housing - PBV Family
121-141 Lucerne St  Dorchester  MA  02124,y,,195,Lucerne Gardens,"56 Winston Road, Dorchester MA 02124",,,,,Leased Housing - PBV Family
121 Lucerne St  Dorchester  MA  02124,y,,195,Lucerne Gardens,,,,,,Leased Housing - PBV Family
123 Lucerne St  Dorchester  MA  02124,y,,195,Lucerne Gardens,,,,,,Leased Housing - PBV Family
125 Lucerne St  Dorchester  MA  02124,y,,195,Lucerne Gardens,,,,,,Leased Housing - PBV Family
127 Lucerne St  Dorchester  MA  02124,y,,195,Lucerne Gardens,,,,,,Leased Housing - PBV Family
129 Lucerne St  Dorchester  MA  02124,y,,195,Lucerne Gardens,,,,,,Leased Housing - PBV Family
131 Lucerne St  Dorchester  MA  02124,y,,195,Lucerne Gardens,,,,,,Leased Housing - PBV Family
133 Lucerne St  Dorchester  MA  02124,y,,195,Lucerne Gardens,,,,,,Leased Housing - PBV Family
135 Lucerne St  Dorchester  MA  02124,y,,195,Lucerne Gardens,,,,,,Leased Housing - PBV Family
137 Lucerne St  Dorchester  MA  02124,y,,195,Lucerne Gardens,,,,,,Leased Housing - PBV Family
139 Lucerne St  Dorchester  MA  02124,y,,195,Lucerne Gardens,,,,,,Leased Housing - PBV Family
141 Lucerne St  Dorchester  MA  02124,y,,195,Lucerne Gardens,,,,,,Leased Housing - PBV Family
56 Winston Rd  Dorchester MA  02124,,y,195,Lucerne Gardens,,,,,,Leased Housing - PBV Family
3-8 Nazing Ct  Dorchester  MA  02121  ,y,,197,Nazing Court,"224 Seaver Street, Dorchester, MA 02121",,,,,Leased Housing - PBV Family
3 Nazing Ct  Dorchester  MA  02121  ,y,,197,Nazing Court,,,,,,Leased Housing - PBV Family
8 Nazing Ct  Dorchester  MA  02121  ,y,,197,Nazing Court,,,,,,Leased Housing - PBV Family
224 Seaver St  Dorchester  MA  02121,,y,197,Nazing Court,,,,,,Leased Housing - PBV Family
888 Washington St  Boston  MA  02111,y,,199,Oak Terrace,,,,,,Leased Housing - PBV Family
"37, 43 Sandpiper Lane  Dorchester  MA  02124 ",y,,200,Olmsted Green  Rental III,"6,18,34,36,68,76 Osprey Way, Dorchester, MA 02124",,,,,Leased Housing - PBV Family
37 Sandpiper Lane  Dorchester  MA  02124 ,y,,200,Olmsted Green  Rental III,,,,,,Leased Housing - PBV Family
39 Sandpiper Lane  Dorchester  MA  02124 ,y,,200,Olmsted Green  Rental III,,,,,,Leased Housing - PBV Family
41 Sandpiper Lane  Dorchester  MA  02124 ,y,,200,Olmsted Green  Rental III,,,,,,Leased Housing - PBV Family
43 Sandpiper Lane  Dorchester  MA  02124 ,y,,200,Olmsted Green  Rental III,,,,,,Leased Housing - PBV Family
"6, 18, 34, 36, 68, 76 Osprey Way  Dorchester  MA  02124",,y,200,Olmsted Green  Rental III,,,,,,Leased Housing - PBV Family
6 Osprey Way  Dorchester  MA  02124,,y,200,Olmsted Green  Rental III,,,,,,Leased Housing - PBV Family
18 Osprey Way  Dorchester  MA  02124,,y,200,Olmsted Green  Rental III,,,,,,Leased Housing - PBV Family
34 Osprey Way  Dorchester  MA  02124,,y,200,Olmsted Green  Rental III,,,,,,Leased Housing - PBV Family
36 Osprey Way  Dorchester  MA  02124,,y,200,Olmsted Green  Rental III,,,,,,Leased Housing - PBV Family
68 Osprey Way  Dorchester  MA  02124,,y,200,Olmsted Green  Rental III,,,,,,Leased Housing - PBV Family
76 Osprey Way  Dorchester  MA  02124,,y,200,Olmsted Green  Rental III,,,,,,Leased Housing - PBV Family
"26, 46 & 50 Norwell St  Dorchester  MA  02121",y,,204,Trinity Terrace,"3, 19, 21 Trinity Terrace, Dorchester, MA 02125","237 Washington Street, Dorchester, MA 02125",,,,Leased Housing - PBV Family
26 Norwell St  Dorchester  MA  02121,y,,204,Trinity Terrace,,,,,,Leased Housing - PBV Family
46 Norwell St  Dorchester  MA  02121,y,,204,Trinity Terrace,,,,,,Leased Housing - PBV Family
50 Norwell St  Dorchester  MA  02121,y,,204,Trinity Terrace,,,,,,Leased Housing - PBV Family
"3, 19, 21 Trinity Terrace  Dorchester  MA  02125",,y,204,Trinity Terrace,,,,,,Leased Housing - PBV Family
3 Trinity Terrace  Dorchester  MA  02125,,y,204,Trinity Terrace,,,,,,Leased Housing - PBV Family
19 Trinity Terrace  Dorchester  MA  02125,,y,204,Trinity Terrace,,,,,,Leased Housing - PBV Family
21 Trinity Terrace  Dorchester  MA  02125,,y,204,Trinity Terrace,,,,,,Leased Housing - PBV Family
237 Washington St  Dorchester  MA  02125,,y,204,Trinity Terrace,,,,,,Leased Housing - PBV Family
237-241 Walnut Ave  Roxbury  MA  02119,y,,207,Walnut House (PBV),,,,,,Leased Housing - PBV Eld/Dis
237 Walnut Ave  Roxbury  MA  02119,y,,207,Walnut House (PBV),,,,,,Leased Housing - PBV Eld/Dis
239 Walnut Ave  Roxbury  MA  02119,y,,207,Walnut House (PBV),,,,,,Leased Housing - PBV Eld/Dis
241 Walnut Ave  Roxbury  MA  02119,y,,207,Walnut House (PBV),,,,,,Leased Housing - PBV Eld/Dis
71 Westland St  Boston  MA  02115,y,,216,Westland/Burbank,64-70 Burbank Street Boston MA 02115,,,,,Leased Housing - PBV Family
64-70 Burbank St Boston MA  02115,,y,216,Westland/Burbank,,,,,,Leased Housing - PBV Family
64 Burbank St Boston MA  02115,,y,216,Westland/Burbank,,,,,,Leased Housing - PBV Family
66 Burbank St Boston MA  02115,,y,216,Westland/Burbank,,,,,,Leased Housing - PBV Family
68 Burbank St Boston MA  02115,,y,216,Westland/Burbank,,,,,,Leased Housing - PBV Family
70 Burbank St Boston MA  02115,,y,216,Westland/Burbank,,,,,,Leased Housing - PBV Family
40-42 Upton St  Boston  MA  02118,y,,217,40 Upton Street,,,,,,Leased Housing - PBV Family
40 Upton St  Boston  MA  02118,y,,217,40 Upton Street,,,,,,Leased Housing - PBV Family
42 Upton St  Boston  MA  02118,y,,217,40 Upton Street,,,,,,Leased Housing - PBV Family
34 Algonquin St  Dorchester  MA  02124,y,,218,Algonquin (PBV),,,,,,Leased Housing - PBV Eld/Dis
40-42 Ashford St  Allston  MA  02134,y,,219,Ashford Street Lodging,,,,,,Leased Housing - PBV Eld/Dis
40 Ashford St  Allston  MA  02134,y,,219,Ashford Street Lodging,,,,,,Leased Housing - PBV Eld/Dis
42 Ashford St  Allston  MA  02134,y,,219,Ashford Street Lodging,,,,,,Leased Housing - PBV Eld/Dis
440 Tremont St  Boston  MA  02116,y,,220,Eva White,,,,,,Public Housing - Federal Eld/Dis
43 Bow St  Hyde Park  MA  02136,y,,221,Fairmount,,,,,,Public Housing - State Family
266 North Beacon St  Brighton  MA  02135,y,,222,Faneuil Gardens,,,,,,Public Housing - State Family
1740 Washington St  Boston  MA  02118,y,,223,Washington Street (PBV),,,,,,Leased Housing - PBV Eld/Dis
